Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8
Blue Frontier : Saving America's Living Seas;By Helvarg, David;Oceans cover over 71% of the earth’s surface, absorb far greater amounts of carbon dioxide than rain forests, and exert a powerful control over climate, clouds, and weather.  Yet our living oceans are imperiled as never before, plagued by overfishing, reckless development, and pollution.  Will future generations be able to enjoy the riches of our nation’s greatest environmental treasure?A fascinating account of America’s oceans and ocean politics, Blue Frontier explores the impact of history, commerce and policy on marine life - and by extension all life on earth.  From the legacy of Navy-funded ocean research and development since World War II to the latest controversies surrounding beach closures, collapsing fish stocks, killer algae, hurricanes, and oil spills, Blue Frontier takes readers on an adventure-filled tour of America’s last great wilderness range.   Helvarg argues that sensible policies can still halt the onslaught of industrial destruction, despite today’s wide-open development along our coasts and in our offshore waters.  Profiling the growing number of coastal citizen-activists, local governments, and waterfront communities that are working to protect and restore healthy seas for all of us, he shows how informed individuals can make a difference.  An impassioned call for a new approach to ocean stewardship, Blue Frontier is essential reading for anyone interested in saving our maritime culture and heritage. Oceans cover over 71% of the earth’s surface, absorb far greater amounts of carbon dioxide than rain forests, and exert a powerful control over climate, clouds, and weather.  Yet our living oceans are imperiled as never before, plagued by overfishing, reckless development, and pollution.  Will future generations be able to enjoy the riches of our nation’s greatest environmental treasure?A fascinating account of America’s oceans and ocean politics, Blue Frontier explores the impact of history, commerce and policy on marine life - and by extension all life on earth.  From the legacy of Navy-funded ocean research and development since World War II to the latest controversies surrounding beach closures, collapsing fish stocks, killer algae, hurricanes, and oil spills, Blue Frontier takes readers on an adventure-filled tour of America’s last great wilderness range.   Helvarg argues that sensible policies can still halt the onslaught of industrial destruction, despite today’s wide-open development along our coasts and in our offshore waters.  Profiling the growing number of coastal citizen-activists, local governments, and waterfront communities that are working to protect and restore healthy seas for all of us, he shows how informed individuals can make a difference.  An impassioned call for a new approach to ocean stewardship, Blue Frontier is essential reading for anyone interested in saving our maritime culture and heritage.; Nature , Animals , Marine Life;W. H. Freeman;5.39;April;2001
The Metropolitan Opera: Stories of the Great Operas;By Freeman, John W. (EDT) and Metropolitan Opera (New York, N. Y.) (COR);Here at last is the definitive opera story collection, the only one now authorized by the Metropolitan Opera. Written by the associate editor of Opera News magazine, the volume includes the complete plots of 150 different operas, biographical information on all of the 72 composers represented, easy access to the stories through both a table of contents and an index, and a foreword by Peter Allen.; Music , Genres & Styles , Opera;W. W. Norton & Company;8.79;November;1984
Financial Accounting: An Introduction to Concepts, Methods and Uses;By Stickney, Clyde P. and Weil, Roman L.;With its widely popular conceptual approach, this classic textbook has been revised in full color and will continue to be the leader in its field. The text incorporates many real-world examples and financial statement as well as integrating international topics throughout the text. Ideal for the graduate level, the text's authoritative user-orientation teaches students to interpret and understand financial information in a changing business environment.; Business & Economics , Accounting , Financial;South-Western College Pub;8.43;August;1999
"Commitment to freedom; the story of the Christian Science Monitor";By Canham, Erwin D;;;Houghton Mifflin Company;6.26;January;1958
Tortured for Christ;By Wurmbrand, Richard;; Religion , Christianity , Lutheran;Living Sacrifice Book Company;5.29;March;1998
Who Put That Hair in My Toothbrush?;By Spinelli, Jerry;Who Put That Hair in My Toothbrush? Sibling rivalry at its finest! Whether it's on the hockey ice, at school, or at home, Greg and Megin just can't seem to get along. She calls him Grosso, he calls her Megamouth. They battle with donuts, cockroaches, and hair. Will it take a tragedy for them to realize how much they actually care for each other?; Young Adult Fiction , Family , Siblings;Little, Brown Books for Young Readers;5.29;April;2000
The imperial Post: The Meyers, the Grahams, and the paper that rules Washington;By Kelly, Tom;;;Morrow;5.47;January;1983
When the Fairy Dust Settles: A Mother and Her Daughter Discuss What Really Matters;By Parshall, Janet, Parshall, Sarah, and Perry, Sarah Parshall;A host of a daily Christian radio show and her daughter address the challenges of living according to the Scriptures in modern society, in a guide that covers a wide range of topics including extramarital affairs, financial problems, and plastic surgery. Original.; Religion , Christian Living , General;FaithWords;5.29;July;2004
Young Cam Jansen and the Lost Tooth (Penguin Young Readers, L3);By Adler, David A. and Natti, Susanna (ILT);Cam Jansen's photographic memory is put to the test when Annie's tooth falls out? and disappears! Cam has a picture in her head of everything she sees. But does she have the picture she needs to solve the mystery of the lost tooth?; Juvenile Fiction , Readers , Intermediate;Penguin Young Readers;5.29;January;1999
Yummy Yucky (Leslie Patricelli board books);By Patricelli, Leslie and Patricelli, Leslie (ILT);Learning about opposites has never been more fun - or funny - than with this winning board book. Yummy!Spaghetti is yummy, but worms - and blue crayons, and sand, and other things too gross to mention - are definitely yucky when tasted. Amiably illustrated in a bright, graphic style, Leslie Patricelli’s spirited board book, Yummy Yucky stars an obliging, bald, and very expressive toddler who acts out each pair of opposites with comically dramatic effect.; Juvenile Fiction , Concepts , Senses & Sensation;Candlewick;4.99;September;2003
On the Bright Side, I'm Now the Girlfriend of a Sex God (Further Confessions of Georgia Nicolson);By Rennison, Louise;"Georgia Nicolson has started dating the Sex God (aka Robbie). So life should be perfect . . . except in Georgia's life, nothing is ever perfect. Her cat, Angus (the size of a small Labrador), is terrorizing the neighborhood. Her sister, Libby (who is slightly mad), hides her pooey knickers at the bottom of Georgia's bed.Then the Sex God breaks it off because she's too young. It's time for a plan. It's time for a Red Herring. It's time for Georgia to become a ""heartless boy magnet!"""; Young Adult Fiction , Humorous , General;HarperTeen;4.99;April;2006
Love Is Letting Go of Fear;By Jampolsky, Gerald G.;After a quarter century, LOVE IS LETTING GO OF FEAR is still one of the most widely read and best-loved books on personal transformation and has become a classic all over the world. This helpful and hopeful little guide is comprised of twelve carefully crafted lessons that are designed to help us let go of the past and stay focused on the present as we step confidently toward the future. Renowned founder and teacher of Attitudinal Healing, Dr. Gerald Jampolsky reminds us that the only impediments to the life we yearn for are the limitations imposed on us by our own minds. Revealing our true selves, the essence of which is love, is a matter of releasing those limited and limiting thoughts. LOVE IS LETTING GO OF FEAR has guided millions of readers toward self-healing with this deeply powerful yet profoundly simple message. Embrace it with an open mind and an open heart and let it guide you to a life in which fear, doubt, and negativity are replaced with optimism, joy, and love.; Religion , Spirituality;Celestial Arts;4.99;October;1979
